CardCode,CardName
V1188,MACHHAPUCHHRE TR LOAN -USD
V1187,MACHHAPUCHHRE TR LOAN-NPR
V1420,MACHINE TOOLS CENTRE
V1234,MAGNUM COAL PVT.LTD
V1093,MAHABALA INTERNATIONAL
V1269,MAKPOWER TRANS SYSTEMS PRIVATE LIMITED
V0936,MB Traders & Suppliers
V1067,MEDIKO Life Sciences (P) Ltd.
V1236,MEHI POWER TRANSFORMERS
V1258,METTLER-TOLEDO INDIA Pvt.Ltd
V1314,MICRO HEAT
V0664,MLU METALIKS PRIVATE LIMITED
V1277,MLU OVERSEAS PVT.LTD
V1304,MNBC Pvt. Ltd
V0961,MOVAC OVERSEAS
V1533,MUKTINATH METAL UDHYOG
V0119,Ma Ambe Traders
V0270,Ma Baishno Traders & Suppliers
V0271,Ma Bhagwati Suppliers
V0612,Ma Bindawasini Books & Stationery
V0120,Ma Chandeshwori Scrap Center
V0121,Ma Laxmi Traders
V0272,Ma Shakambhari Traders
V0122,Ma Shanti Trade & Suppliers
V0984,Ma shakambari Enterprises
V0273,Maa Bhawani Recycling Pvt. Ltd.
V0123,Maa Gadhimai Trader & Suppliers
V0678,Maa Gayatri Medical Hall
V1237,Maa Manokamana Enterprises
V0274,Maa Sakambari Trade Concern
V1347,Maa Sharda Enterprises Pvt Ltd
V0275,Maa Sita Suppliers
V0276,Maa Sonasati Kawad Stores
V0646,Maa Vaishnavi Art
V1387,Maas Planet I.T. Traders
V0758,Macto Spares Concern
V0520,Madhav International Pvt. Ldt.
V0560,Madhu Oil Enterprises
V0561,Madhu Oxygen Industries Pvt.Ld
V0124,Maha Shakti Traders & Suppliers
V1016,Mahadev Power Solutions Pvt.Ltd
V1022,Mahakali Clearing Services
V1317,Mahalaxmi Paint Traders
V0796,Mahavir Agency
V0784,Mahavir Machinery Stores
V0804,Mahavir Power System
V0630,Main Media Pvt.Ltd
V1501,Majhi Traders
V0497,Makalu Soap & Chemical Industries Pvt. Ltd.
V0969,Makwanpur Heavy Equipment Workshop
V1332,Makwanpur Trade Link Pvt.Ltd
V1241,Malashree Motors (P). Ltd.
V0512,Malika Home Art Pvt. Ltd.
V1271,Manakamana Logistic Pvt. Ltd.
V0277,Manakamana Mai Scrap Centre
V0125,Manakamna Kawad Suppliers
V0392,Manakamna Transport
V0550,Manasi General Suppliers
V1380,Mangalam Dhuwani Sewa
V0829,Manglam Electric Workshop
V1085,Mani Electric and Hardware Stores
V0859,Manju Enterprises
V0126,Mankamana Kabadi Packing Udhyog
V0562,Manoj Gas Udyog P Ltd
V0367,Mansur Tyre Repairing Center
V0629,Maruti Flex Print
V0714,Maruti Nanda Tours & Travels Pvt. Ltd.
V1337,Maruti Nandhan Hardware And Skrap Suppliers
V1040,Matin Softech
V0782,Maw Earthmovers Pvt. Ltd.
V0337,Maxx Auto Pvt. Ltd.
V1535,Mechi Civil Engineering Laboratory Pvt. Ltd.
V0856,Mechnox Engineering Solution
V0631,Media Basket & Marketing
V0613,Media Hub Pvt.Ltd
V0614,Media Master Concept Pvt.Ltd
V0471,Mega Mart Pvt. Ltd.
V0582,Mercantile Office Systems Pvt. Ltd.
V1202,Metal Work Trade Pvt.Ltd.
V0981,Metals Cast Pvt.Ltd
V0461,Mga International Pvt. Ltd.
V0698,Mijbaani Sweet
V0396,Milijuli Dhuwani Sewa
V1264,Misika Enterprises
V0127,Mnv Suppliers
V1032,Mo.Alam Engineering Workshop And Suppliers
V0298,Module Enterprises
V0278,Mohan Hardware
V0632,Mom Nepal Media Pvt.Ltd
V0735,Momina Piling Services
V1452,Mortex (International)
V0297,Mortex India
V0299,Movac Industries
V0289,Mrs Traders
V0746,Ms Trading International
V1512,Mukesh Boring Sewa
V0279,Mukesh Trade & Suppliers
V0483,Multi Lab Pvt.Ltd
V0341,N Car Decoration Center
V1495,N P SYNDICATE
V0280,N.N. Traders And Suppliers
V1006,N.S Engineering and Geo- Technical ServicesPvt. Ltd.
V1189,NABIL TR LOAN -NPR
V1190,NABIL TR LOAN -USD
V1436,NEPAL SAFETY CENTRE PVT.LTD
V1530,NISSAKU COMPANY (NEPAL) PVT. LTD
V1250,NSBI TR LOAN - USD
V1191,NSBI TR LOAN -NPR
V0281,Nag Traders
V0361,Namaste Cranes And Trades Pvt. Ltd.
V0581,Namaste Infotech Pvt. Ltd.
V1231,Namo: Buddha Motorcycle Workshop
V0282,Nand Scrap Center
V0283,Nandan Krishna Traders Pvt. Ltd.
V1211,Nandu Trade Store
V1488,Narayan Dhuwani Sewa
V0342,Narayani Auto Suppliers
V0343,Narayani Denting Painting Auto Work Shop
V0284,Narayani Electro Mechanic & Krishi Aujar Udhyog
V0605,Narayani Fm 103.8 Mhz
V0788,Narayani Ispat Pvt. Ltd.
V0752,Narayani Rolling Mills Pvt. Ltd.
V0771,Narayani Steels Pvt. Ltd.
V0813,Narayani Strips Pvt. Ltd.
V0366,Narayani Tyre House
V0493,Narayani Vayodha Hospital Pvt. Ltd.
V0129,National Suppliers
V0285,National Traders &  Suppliers
V0130,Nav Durga Re Trade Centre
V0131,Nav Durga Traders - Gaidakot
V0286,Nav Durga Traders- Chitwan
V0595,Ncell Pvt. Ltd.
V0767,Neha And Atul Impex
V0580,Neo Software Pvt. Ltd.
V1384,Neoteric Nepal Pvt. Ltd
V0801,Nep Tech Trade Concern
V0338,Nepal Auto Parts
V0844,Nepal Battery Workshop
V1498,Nepal Can Move Pvt. Ltd
V0362,Nepal Car Decoration Center
V0037,Nepal Casting Udhyog
V0196,Nepal Clearing House Limited
V1204,Nepal Concrete Udhyog
V0757,Nepal Construction & Engineering Corporation Pvt. Ltd.
V0937,"Nepal Doorsanchar Company Ltd.,"
V0553,Nepal Electricity Authority
V0486,Nepal General Marketing Pvt. Ltd.
V0848,Nepal Heavy Electric Works
V1283,Nepal Heavy Electrical And Mechanical Works
V0676,Nepal Insurance Company Ltd
V0837,Nepal Ion Exchange Pvt. Ltd.
V0422,Nepal Logistics
V1050,Nepal Logistics Pvt. Ltd.
V0563,Nepal Lube Oil LTD.
V1294,Nepal Marble & Sanitation Pvt. Ltd
V1285,Nepal Media Techology Pvt. Ltd.
V0423,Nepal Roadways Co.
V0132,Nepal Trade Link
V1280,Nepal Transit And Warehousing Company Ltd.
V0363,Nepal Tyre Center
V0754,Nepal Wires & Cables Pvt.Ltd
V1355,Nepoland Multipurpose Pvt.Ltd
V0766,Neupane Engineering Pvt. Ltd.
V0957,Neupane Tower
V0577,New Aditya Store
V0472,New Apsara
V0564,New Ashraf Diesel Service
V0387,New Asish Carrier
V0004,New Bachhaladevi Suppliers
V1333,New Bhairab Carriers
V0038,New Bishwash Traders
V0750,New Chitwan Hume Pipe Udhyog Pvt. Ltd.
V0459,New Hello Sir
V0881,New India Electricals Limited
V0133,New Khushi Marketing
V0468,New Lalit Enterprises
V0134,New Laxmi Suppliers
V0790,New Maa Vaishno Enterprises
V0135,New Mahalaxmi Traders
V0449,New Mahavir Vastralay
V0739,New Moktan Traders
V0923,New Movers Logistics
V0384,New Narayani Dhuwani Sewa
V1492,New Navnit Carrier
V0136,New Neha Overses
V1404,New Nepal Customs And Clearing Serviceses
V1425,New Nepal Dhuwani Sewa
V0466,New Pappu Kirana
V0039,New S.K Suppliers
V0460,New Sandip Cycle And Electricals
V0924,New Sharma & Sharma Clearing Agency
V0339,New Shree Krishna Automobiles
V0448,New Star Decor
V0137,New Sumit Traders & Suppliers
V0457,New Tech Controls
V1541,New Vendor
V0036,New chitwan sajawot
V0882,Newton Enviro Engineering
V0618,Nexgen Digital Press Pvt. Ltd.
V0040,Nexgen Realstate & Housing Pvt. Ltd.
V1225,Niharika Suppliers Pvt.Ltd
V0138,Nilkanth Traders Suppliers
V0589,Nimble Infosys Pvt.Ltd
V0041,Niraj General Suppliers
V0139,Niranjan Traders & Suppliers
V1400,Nirman Samagri Hardware Pardasani-2081
V0421,Nirwan Logistics
V0042,Nisha Trade Suppliers
V0043,Nitesh & Aakash Traders
V0044,Nitesh & Bikash Traders
V0045,Niwas Traders Pvt. Ltd.
V0393,Nk Logistic Service Pvt.Ltd
V0340,Noor Nesa Tyre Kharid Bikri Center
V0424,North Eastern Carrying Corporation Limited
V0638,Nts Media Service
V0883,Nuhydro Automation Product
V0519,O.S.R Traders Pvt. Ltd
V1128,OM KRISHI BEEJ BHANDAR
V1010,ORANGE TECHWORTH SOLUTIONS
V0994,ORISSA ALLOY STEEL PVT.LTD
V1450,ORISSA METALIKS PVT.LTD
V1288,ORISSA STEEL & POWER PVT.LTD
V0290,Ocean Plastic Industries
V1326,Oliz Store Pvt. Ltd
V0639,Om Advertising
V0140,Om Ambe Scrap Store
V0344,Om Earth Moovers Pvt. Ltd.
V0141,Om Ganapati Traders
V0142,Om Garima Traders
V0046,Om Iron Traders
V0642,Om Mata Di Suppliers
V0047,Om Namah Shivay Suppliers
V0143,Om Namah Shivay Traders
V1127,Om Sai Trade Link
V0048,Om Sai Traders And Suppliers
V0828,Om Satyasai Pvt.Ltd
V0390,Om Shakti Dhuwani Sewa
V0144,Om Shree Shakti Traders
V1263,Om Shreesai Trade Link
V0145,Om Suppliers
V0146,Om Trade And Suppliers
V0049,Om Traders
V0884,Omex International
V0147,Omkara Suppliers Pvt. Ltd.
V0148,Omkara Trading Pvt. Ltd.
V0938,Omni Automobiles Pvt. Ltd.
V0554,Omni International Pvt. Ltd.
V1070,Omshakti Suppliers
V0628,Online Kendra Media Pvt.Ltd
V0521,Online Samagri Pvt.Ltd
V0643,Onlinekhabar Nepal Pvt. Ltd.
V1467,Orange Ball Pvt. Ltd
V0542,Oremet Alloys And Castings Pvt. Ltd.
V0543,Oriental Enterprises
V0772,Osmium & Company Pvt. Ltd.
V0475,Out Door Mart
V0476,P & P Traders
V1247,P. Regmi & Associates
V0502,P.N.R Décor & Design Pvt Ltd
V1309,P.R.C. Logistics and Warehousing Pvt. Ltd.
V1323,P.R.D. Enterprises
V0050,P.S And Sons Enterprises Pvt. Ltd.
V1350,PARMAR ENGINEERING ENTERPRISE
V1046,PARTH EXIM PVT.LTD
V1045,PARTH EXIM PVT.LTD
V1238,POSITRON ENGINEERING CORPORATION
V1192,PRABHU TR LOAN -NPR
V1193,PRABHU TR LOAN -USD
V0616,PRINT POINT
V0149,Pacific Construction & Consultancy Pvt. Ltd.
V0885,Paharpur Cooling Towers Limited
V1121,Pahunch Legal Concern Pvt. Ltd.
V0886,Pal Electric & Engg. Works
V0777,Pal Engineering Trade Centre
V0887,Paltech Cooling Tower & Equipments Ltd
V0150,Palvy Suppliers
V0888,Pan Asia Gas Technologies ( Wuxi ) Co. Ltd.
V0988,Pandey Printing Press
V1219,Param Dham Scrap Pvt.Ltd.
V0819,Paras Electricals
V0889,Paras Polycab Pvt. Ltd.
V0939,Parsa FM Pvt. Ltd.
V0439,Partani Soap & Silicate Industries
V0634,Paschimanchal Advertising
V0565,Pashupati Diesel Service
V0763,Pashupati Electric House
V0836,Pashupati Hardware Pvt. Ltd.
V0051,Pashupati Kawad Suppliers
V0398,Pashupati Road Carrier Nepal Pvt. Ltd.
V0925,Pashupati Road Carrier Pvt. Ltd.(India)
V1118,Paso Fiber Sheet and Metal Industry Pvt.Ltd.
V0555,Patel Oil Center
V0721,Pathivara Construction
V0720,Pawan Construction
V0443,Pawan Glass House
V0835,Pawan Kumar International Pvt. Ltd.
V1543,Payroll Clearing Vendor
V1536,Peoples Auto Enterprises
V1481,Perfect Electrical & Mechanical Work
V0617,Pesa Ad
V0740,Pg Builders & Suppliers Pvt. Ltd.
V0689,Pk & Associates
V0345,Pk Air Brake Repairing Center
V0774,Pk Cycle Stores
V0995,Platinum Marketing Pvt.Ltd
V1021,Pokhrel Enterprises
V0485,Poonam Arts
V1079,Powergen Technical Services Pvt.Ltd
V0909,Powerplus Technologies India Pvt. Ltd.
V0504,Powertech Interprises
V0385,Pp Dhuwani Sewa
V0151,Pr Trading
V0742,Prabhash Construction
V0850,Pradhan Trade Concern
V1290,Pranish Construction
V1037,Pranjal Roadways Pvt. Ltd.
V0441,Prashant Overseas
V0730,Pratyush Nirman Sewa
V0152,Prayash Solution And Builders Pvt. Ltd.
V0812,Premier Bearings (Nepal) Pvt. Ltd.
V0908,Premier India Bearings Ltd.
V0153,Premier Steel P Ltd
V0797,Prime Cable Industries Pvt. Ltd.
V0052,Prince Traders
V0544,Prismat Industries
V0684,Pristine Valley Dryport Pvt.  Ltd.
V0053,Pritam Store
V0509,Priya Suppliers Pvt. Ltd.
V1205,Pro Traders Pvt.Ltd.
V0890,Promoda Switch Gears Pvt. Ltd.
V0891,Prompt Service & Sales Co.
V0838,Pump Engineering Pvt. Ltd.
V0154,Punam Kabadi Centre
V0426,Punjab Hariyana Roadways
V0615,Pure Sound Pvt. Ltd.
V0391,Purnima Dhuwani Sewa
V1389,Pushkar Enterprise
V0892,QUOTECH SOLUTIONS
V1056,Quality & Environmental Management Service Pvt.Ltd
V1437,Quality International
V0940,Quality Trade Center
V1504,R. N REFRACTORY WORKS
V0976,R.D. Furniture & Furnishing Centre Pvt.Ltd
V1448,R.P.Accessories World
V1254,R.R. Multi Structure Lab Pvt Ltdnnnnnnn
V1229,R.R.P. Associates
V1368,RAHUL OIL STORES
V1320,RAINBOW COLOURS
V0985,RAMANA MACHINES
V0665,RASHMI CEMENT LTD.
V1357,REBS Lubrication India Pvt. Ltd
V1303,RIBBON ENTERPRISES PVT.LTD
V1302,RIELLO POWER INDIA PRIVATE LIMITED
V1517,RITCO LOGISTICS LIMITED
V1403,ROSHANI FURNITURE
V1445,RUDRA DHUWANI SEWA
V0400,Radhakrishna Logistics Pvt. Ltd.
V0155,Radhe Shyam Traders
V0054,Radhika Traders
V0606,Radio Link Advertisment Pvt. Ltd
V0305,Raghav Productivity Enhancers Ltd.
V0156,Rahul Steel And Hardware Suppliers
V1406,Raj Electrical Centre
V0768,Raj Hardware
V0157,Raj Laxmi Traders
V0055,Raja Trading
V0056,Rajan Scrap
V0308,Rajasthan Minerals
V0158,Rajdevi Traders
V0635,Rajdhani News Publication Pavt.Ltd
V0821,Rajesh Hardwares Pvt. Ltd.
V1000,Rajesh Trading Company
V1026,Raju Sha
V0346,Raju Tractor Parts Store
V0159,Ram Janaki Kabadi Pasal
V0160,Ram Janaki Traders
V1340,Rama Janaki Kawadi Pasal
V1035,Ramniwash Traders Suppliers
V0855,Randor Tech Products
V0477,Rani Sati Stationary & Gift House
V0161,Ranjeet Scrap
V0347,Raunak Auto Care
V0738,Rav Brothers
V0455,Ravi Seed Center
V0826,Real Steels Pvt. Ltd.
V1076,Red Mars Enterprises
V1324,Regency Watch Pvt. Ltd.
V0806,Reliable Bearings Nepal Pvt. Ltd.
V0666,Reliable Hitech Infrastructure Pvt. Ltd.
V1003,Reliable Industries Pvt.Ltd
V0300,Reliance Concast Solutions
V0556,Reliance Petro Pvt. Ltd.
V0975,Renko Pen And Stationery Pvt. Ltd.
V0057,Reza Traders
V0301,Rhi Magnesita
V0302,Rhi Magnesita India Limited
V0451,Rich Interior Pvt. Ltd.
V0453,Richa Pharmacy
V1281,Riddhi Siddhi Logistics
V0677,Riddhi Siddhi Trade Concern
V0776,Riddhi Siddhi Trade Link
V0503,Rilu Enterprises
V1267,Rishika Enterpreses
V1412,Ritik Media Pvt.Ltd.
V1428,Ritika Exim Pvt.Ltd
V0162,Riya Scrap Concern
V0058,Riyans And Sahil Enterprises
V0523,Rk Trading & Suppliers
V0537,Rn Instrument India
V0163,Rohan Traders & Suppliers
V1298,Rohit Enterprises
V0059,Rohit Rohan Traders Pvt. Ltd.
V1246,Roots Advertising
V0405,Roshani Dhuwani Sewa
V0164,Roshni Kawadi Collection
V1540,Ross Controls India Pvt Ltd
V0948,Royal Udhyog Pvt.Ltd
V0321,Rs Construction
V1432,Rudra Enterprises
V1327,Rudra Suppliers
V0484,Rukmani International Pvt.Ltd
V1510,Rukmini Suppliers
V0375,S Atif Aoto Worshop
V1446,S K TRADING CO
V0991,S R Machinery Suppliers
V0803,S-Power Bpe Pvt. Ltd.
V1023,S.A.R Clearing Sewa
V1451,S.K. Tyre Centre
V1008,S.M.C. Global Pvt.Ltd
V0741,S.P. Machine Shop
V0966,S.R. Pandey & Co.
V1300,SABURI COAL TRADING PVT.LTD
V1194,SANIMA TR LOAN -NPR
V1195,SANIMA TR LOAN -USD
V0906,SATYA  INTL PRIVATE LIMITED
V1054,SEBI INTERNATIONAL TRADING SPC
V0655,SHAKAMBHARI ISPAT & POWER LTD
V1365,SHASWAT TRADING
V1222,SHIV & JUGNU INDUSTRIES
V0962,SHIVA INDUSTRIES
V1047,SHIVA SCIENTIFIC TRADERS
V1311,SHREE NARAYAN SALES AND SERVICES
V1087,SHYAM METALICS AND ENERGY LIMITED
V0307,SS Enterprises
V1344,SU-KAM Power Solution
V1049,SUNLIKE EXIM PRIVATE LIMITED
V0060,Saakha Steel Industries Pvt. Ltd
V0376,Sabir Motorcycle Repairing Workshop
V1102,Sabita Holding Company Pvt. Ltd
V1348,Sachin Gupta Suppliers
V0061,Sachin Scrap Suppliers
V0165,Sagun Traders
V0469,Sah Soupnar Udhyog
V1414,Sahara Group Pvt. Ltd.
V1001,Sai Services Pvt. Ltd.
V1110,Saifco (india Co)
V1339,Sajangoth Sweets & Snacks
V1439,Sajilo Marmat Sewa Pvt. Ltd.
V1438,Sajilo Marmat Sewa Pvt. Ltd.
V0598,Sakshi Infotech
V0846,Sakshi Pragati Trade & Suppliers
V0971,Sakshi Press & Cutting Udhyog Pvt.Ltd.
V0062,Sakshi Trade Center
V0532,Sakun Suppliers
V1092,Samar Suppliers
V0625,Samayabodh Media Pvt.Ltd
V1426,Samparna Dhuwani Sewa
V0907,Samriddhi Trading
V1025,Samridhi Dhuwani Sewa Pvt.Ltd.
V1477,Samurai Steel Industries Pvt.Ltd
V1028,Sana Workshop
V0166,Sandarv Trade & Suppliers Pvt. Ltd.
V0647,Sangam Arts
V0445,Sangrila Marketing Nepal Pvt. Ltd.
V0167,Sani Trade & Suppliers
V0168,Sanjay Kabadi Suppliers
V0169,Sanju Jay Bhole Baba Traders
V0063,Sanju Multi Suppliers
V0064,Sankat Mochan Enterprises
V0170,Sanskriti Suppliers
V0798,Santosh Electronics
V0171,Santosh Hardware And Scrap Suppliers
V0407,Sanvi Roadlines
V0854,Sapry Marketing Pvt. Ltd.
V0674,Saraf Terexim Limited
V0172,Saran Traders
V1058,Saraswati G.C (TIA Clearing Vendor)
V0795,Sarbottam Cement Limited
V0840,Sarbottam Exims Pvt. Ltd.
V0378,Sarbottam Minerals Pvt.Ltd
V0941,Sarbottam Steels Limited.
V0066,Sarbottam Suppliers
V0942,Sarbottam Wires P. Ltd.
V1454,Sarbottam cement East Pvt.Ltd.
V1316,Sarovar Portico Birgunj
V0458,Satibani Galla Bhandar
V1109,Satya Bevereges & Distillers PVT.LTD
V1356,Satyam Suppliers
V1509,Saurabh Energy Pvt Ltd
V0759,Saurabh Photo International
V0849,Sawariya Machinery
V1390,Scientific Laboratory Chemicals & Equipment
V1295,Seliksha Heavey Equipment Earth movers Pvt Ltd
V0348,Service Point
V1041,Servokon Nepal and Fabrication
V0173,Shah Cartoon Packaging Udhyog
V0814,Shakambari Bearing & Suppliers
V1206,Shakib Motor Workshop
V1214,Shakil Haidar Traders
V0067,Shakti Traders And Supppliers
V0717,Shama Construction
V1489,Shama Construction Pvt Ltd
V0947,Shambhavi Stationery and General Suppliers
V1534,Shangrila Marketing Nepal Pvt. Ltd.
V0545,Shankar Agencies
V0354,Shankar Motor Parts
V0528,Sharif Enterprises
V0412,Sharma Goods Transport Company
V0701,Sharma Hotel
V1493,Sharma Services Pvt. Ltd.
V0355,Sharraf Motorcycle Repairing And Workshop
V1033,Shenzhen Chois Enterprise Ltd
V0675,Shikhar Insurance Company Ltd.
V0912,Shiltex Private Limited
V0174,Shiv Bhawani Supplier
V0943,Shiv Infra Solutions Pvt.Ltd
V0944,Shiv Shakti Hardware
V0786,Shiv Shakti Scale Industries
V0175,Shiv Shakti Stores
V0747,Shiv Shankar Chemical Udhyog
V1418,Shiva Catering and Cooking Service
V0895,Shiva Enterprises
V1048,Shiva Scientific Traders
V0783,Shiva Traders
V0945,Shiva consultancy Services P. Ltd.
V0896,Shivam Minerals
V0068,Shivam Packaging & Suppliers Pvt. Ltd.
V0176,Shivam Scrap Suppliers
V1282,Shivam Store Tatha Suppliers
V0177,Shivansh Hardware & Suppliers
V0489,Shivashankar Plastic & Household Pasal
V0178,Shivshakti Kabadi Pasal
V0318,Shree Ashtec Pvt. Ltd.
V0069,Shree Bajrang Bali Suppliers
V1443,Shree Balaji Industries
V0406,Shree Bhairab Dhuwani Service
V0383,Shree Carriers
V0179,Shree Churiya Mai Suppliers And Traders
V0929,Shree Deurali Darshan Dhuwani Sewa
V0353,Shree Durga Auto Workshop
V0349,Shree Durga Motor Parts Store
V0568,Shree Durga Oils
V0180,Shree Gadhimai Kabadi Sankalan & Suppliers
V0979,Shree Gadhimai R.M.C Pvt.Ltd
V1227,Shree Ganesh Suppliers
V0769,Shree Hanuman Itta Udhyog
V0557,Shree Harisiddhi Oil Store
V1274,Shree Ishwori Darshan Dhuwani Sewa
V0070,Shree Jireshwari Kabadi Kharid Tahta Bikri Kendra
V0779,Shree Khemi Sati Trade Concern
V0071,Shree Laxmi Bhada Pasal
V0072,Shree Laxmi Traders & Suppliers
V0073,Shree Maha Laxmi Hardware Trading Center
V0805,Shree Mangalam Enterprises
V0292,Shree Manoj Saw Mill
V0897,Shree Narayan Sales & Services
V1494,Shree New Deurali Darshan Duwani Sewa
V0567,Shree Oil Distributors
V1287,Shree Om Sai Transport Pvt. Ltd.
V0722,Shree Ram Agro Engineering Works
V1224,Shree Ram Electrical Workshop
V0074,Shree Ram Scrap & Suppliers
V0382,Shree Sheetlamai Dhuwani Sewa
V0793,Shree Shyam Machinery Tools
V0181,Shree Sitaram Suppliers
V0431,Shree Vijay Laxmi Transport Company
V1014,Shreeram Janaki Furniture Udhyog
V1524,Shreeshankar Placement Service
V1120,Shrestha Concept Nepal Pvt.Ltd
V0317,Shrestha Enterprises
V1447,Shrestha Hardware and Sanitary
V1458,Shri Govind Logistics
V1306,Shristhi Rachana Construction Pvt. Ltd.
V1119,Shristi Advertising Center
V1268,Shruti Trade and Suppliers
V0075,Shubh Labh Trade Link
V1253,Shubha Labha Logistics Pvt Ltd
V0778,Shubha Shree Jagdamba Cement Mills Ltd.
V1459,Shubha Singhal Traders
V0624,Shubham Media Pvt.Ltd
V1444,Shubham and Bishal Suppliers
V1475,Shubhashree Pvt. Ltd.
V0399,Shubhlav Transport Pvt. Ltd.
V0807,Shyam Electric House
V0077,Shyam Iron & Tyre Trade
V0831,Shyam Kastha Suppliers Tatha Furniture Center
V0668,Shyam Sel And Power Ltd.
V0649,Shyam Steel & Minerals
V0507,Siddha Trade And Suppliers
V0965,Siddhartha Cottage Resturant and Bar Pvt. Ltd.
V0791,Siddhartha Hardware
V1385,Siddhartha International Hotel Limited
V0680,Siddhartha Premier Insurance Limited
V1105,Siddhartha Trading and Suppliers
V0389,Siddhi Binayak Road Carriers Pvt. Ltd.
V1061,Siddhi Ganesh & Pathivara Suppliers
V1053,Siddhi Vinayak RoadLines Pvt.Ltd
V0915,Siddhishree Industries Pvt.Ltd
V0182,Sigdel Suppliers Pvt. Ltd.
V1293,Sigma Technologies Pvt. Ltd
V1098,Sign Hub Pvt. Ltd
V0607,Simara Civil Aviation Office
V1039,Simple Energy Pvt. Ltd.
V0596,Simplify It Solutions Pvt. Ltd.
V0351,Simran Motorcycle Workshop
V0350,Simran Trading And Suppliers Pvt. Ltd.
V0377,Sipradi Trading P Ltd
V0183,Sita Devi Traders
V0184,Sitaram Suppliers
V1528,Siya And Samar Trade Private Limited
V0597,Sky Technologies
V1322,Skyline Infra Pvt. Ltd.
V0078,Smart Clean & Recycle Pvt. Ltd.
V0578,Smart It Solution
V0902,Snk Rolling Bearings
V1232,Soaltee Hotel Limited
V1114,Sohana Dhuwani Sewa
V0954,Sohib Enterprises
V1208,Sojol Scrap Pvt.Ltd.
V0903,Sokhi Heli-Wom Gears Pvt.Ltd.
V0688,Solid Furture Hr Consulting Pvt. Ltd.
V1491,Somay Sneh(india) Enterprises
V1442,Sona Chemicals
V0079,Sonakshi Traders And Suppliers
V0185,Sonu Traders & Suppliers
V0627,Sos Media Pvt.Ltd
V0365,Spark Automotives Pvt. Ltd.
V0904,Spectro Analytical Instruments Gmbh
V1401,Speed Exim Pvt. Ltd
V0905,Speedage Engineers Pvt. Ltd
V0306,Sreeram Smelters Pvt Ltd-Wire
V1011,Star Chemical Udhyog
V1215,Star Iron and Steel Industries
V0669,Starlight Ispat Pvt. Ltd.
V0496,Stationery World
V0186,Steel Mart
V0287,Steel Wood
V1476,Steel Wood Enterprises Pvt. Ltd
V1415,Steels Manufacturing Association
V0546,Subha International
V0987,Subha Shree Jagadamba Cement Mills Ltd
V0080,Subharambha Impex Pvt.Ltd.
V0691,Subhash & Company
V0187,Subhlabh Traders
V0188,Subi Traders
V0726,Sudeep Nirman Sewa
V0432,Sugam Express Pvt. Ltd.
V0429,Sugam Parivahan Pvt. Ltd.
V0189,Suman Scrap Center
V1464,Sumit Auto Enterprises
V0005,Sumit Kabadi
V0626,Sunaulo Nepal Online Pvt.Ltd
V1470,Sundara Devi Suppliers
V0128,Suneri Steels Pvt. Ltd.
V0687,Sunil Chapain And Associates
V0470,Sunil Hardware Store
V0525,Sunita Enterprises & Suppliers
V1261,Sunny Clean and Recycle Pvt. Ltd
V0190,Sunny Iron
V0495,Sunrise Trade Link Pvt.Ltd
V0191,Sunsari Kabadi Pasal
V0900,Suony Fibre Glass (I) Pvt. Ltd.
V1196,Supath Pharmacy
V0430,Super Parcel Service
V0830,Super Roshani Furniture
V1466,Super Smart Multi Trade Pvt.Ltd.
V0651,Super Smelters Ltd.
V0670,Super Smeltors Limited
V1030,Supreme IT Trade & Service Pvt. Ltd.
V0192,Supreme Metal Suppliers
V0081,Supriya Mart Emporium
V0082,Suraj Chand Hardware
V0352,Suraj Electronics
V0083,Suraj Kabadi Center
V0193,Suraj Nirman Samagri Suppliers
V0464,Suresh Enterprises
V0547,Surindra Engineering And Trading Co.
V0901,Suruchi Electrical Automation Solution
V0084,Surya Enterprises
V1088,Swastik sweets & Snacks Pvt. Ltd
V1449,Synergy Tech Pvt. Ltd
V1038,T.R.S. Himalayan Logipark Pvt. Ltd.
V1484,TRANSPORT CORPORATION OF INDIA LIMITED
V0194,Tamagadhi Suppliers
V0623,Tamakoshi Media Pvt.Ltd
V0085,Tamreshwor Scrap And Metal
V0725,Tan-Arc Constuction & Consult
V0195,Tanya Traders
V0636,Tapasya Creation Pvt. Ltd.
V0086,Tara Mata Suppliers
V0671,Tata International Ltd
V1123,Tathya Yekikrit Krishi Firm
V0433,Tci Freight
V0434,Tci-Express
V1218,Te Steels Pvt.Ltd.
V0548,Tech Flow Entrprises Pvt. Ltd.
V1017,Technocraft International
V0513,Technocraft International
V0899,Technotherma Furnances
V1334,Techwood Private Limited
V0600,Telematics Tech Pvt. Ltd
V0608,Teligenz Pvt. Ltd
V1217,Ten Steels Pvt.Ltd.
V1531,Terai Chemical Industries
V1086,Terai Goods Carrier
V0356,Terai Motors Pvt. Ltd.
V1223,Texa Traders Private Limited
V1405,The New Gaurav Provision Stores
V0919,The Oriental Insurance Company Ltd.
V0558,Three Brothers Oil Stores
V1329,Thulo Inc. Pvt. Ltd.
V0533,Tibrewal Liquors
V0479,Tibrewal Suppliers
V0465,Tibrewala Impex
V0380,Times Auto Company Pvt. Ltd.
V0653,Times Steel & Power Pvt. Ltd.
V1523,Trans Carriers India Logistics
V1240,Transweld Nepal Pvt. Ltd.
