ItemCode,ItemName,UoMGroupEntry,InventoryUoMEntry
ME3690,75/25 TON UNIVERSAL JOINT FOR LT ASSEMBLY,3,4
OT2906,90 DEGREE ELBOW 1.5D NB 200,2,3
OT2905,90 DEGREE ELBOW 1.5D NB 250,2,3
OT2907,90 DEGREE ELBOW 1.5D NB 40,2,3
EL1283,95 SQ.MM NUT BOLT TYPE TERMINAL BLOCK WITH LOCKING UNIT TYPE:CTS 95L,2,3
EL10008,9W\12W Led Panel Light,4,5
HE1298,A-FRAME,2,3
EL00313,A/I MODULE 6ES7134-4GD01-0AB0,2,3
EL00314,A/O MODULE 6ES7193-4CB20-0AA0,2,3
EL1616,AC ADAPTOR,2,3
EL00315,AC CAPACITOR IR-80,3,4
EL10009,AC DRIVE 22KW (FRN0072E2S) 72A,3,4
EL1169,"AC DRIVE FOR 22KV AC INDUCTION MOTOR TYPE:FRN0072E2S-4GBX,72A",2,3
EL10010,AC DRIVE FOR ALIGNING MOTOR (FRN0105E2S) 105A,3,4
EL10011,AC DRIVE FOR CBRORT-1 & 2 (FRN0168E2S) 168A,3,4
EL10012,AC DRIVE FOR COLD SHEAR RORT-1 (FRN0085E2S) 85A,3,4
HE01049,AC Filter,2,3
EL00316,AC INPUT FUSE 32A,2,3
EL1320,AC SERVO DRIVE TYPE:BM4435-SIO-01683-0313-3-E83-SET,4,5
EL00317,AC STARTER,2,3
EL1082,AC SURGE PROTECTION AND RFI FILTER,3,4
EL00318,ACB 1250A 3P -IMP,3,4
EL00319,ACB 3200A 3P -IMP,3,4
OT2959,ACB PANELS FOR  4200KVA DG POWER SUPPLY FOR ROLLING MILLS,4,5
HE01159,ACC CABLE,5,6
HE1194,ACCELERATOR PEDAL,2,3
AR0112,ACCOSET-50,1,1
ME3479,ACTIVATOR FOR POLY RESIN,9,10
EL00320,ACTIVATOR FOR POLY RESIN 15 ML PACK FSFP000025,2,3
ME01196,ADAPTOR PLATE ES 1A,3,4
ME01197,ADAPTOR PLATE RE 25SP,3,4
ME01198,ADAPTOR PLATE RTO 0B,3,4
ME3079,ADAPTOR SLEEVE H2322 WITH LOCK NUT,4,5
EL1378,ADD ON BLOCK MNX-A1,2,3
EL1377,ADD ON BLOCK MNX-A2,2,3
ME2678,ADJUSTABLE SPANNER 10 Inch,2,3
ME2679,ADJUSTABLE SPANNER 15 Inch,2,3
ME2680,ADJUSTABLE SPANNER 6 Inch,2,3
PS2804,ADVANCE VOUCHER PAD,18,20
CV0340,AGGREGATE,10,11
ME3500,AIR AND OIL LUBRICATION SYSTEM RETURN LINE,4,5
HE1170,AIR BRAKE ACTUATOR PART NO.F8895100 WABCO M252500-LH,2,3
HE1171,AIR BRAKE ACTUATOR PART NO.F8895100 WABCO M252500-RH,2,3
EL00321,AIR BREAK CONTACTOR,2,3
HE1313,AIR CLEANER HOUSING 1198.10.0.00,2,3
OT2839,"AIR COMPRESSOR MACHINE SET WITH AIR DRYER AND AIR RECEIVER TANK,37KW",4,5
OT2973,AIR DIRECTION FLAG,2,3
EL1474,AIR DRYER CONTROLLER CARD TYPE:ERC 213G,2,3
HE01051,AIR FILTER 1621510700 (COMPRESSOR),2,3
ME3673,AIR FILTER ELEMENT FOR 37KW PART NO:1613740800,2,3
HE01052,AIR FILTER ELEMENT PART NO.1621 5107 00,2,3
HE1206,"AIR FILTER ELEMENT PRIMERY 7""",2,3
HE1207,"AIR FILTER ELEMENT SAFETY 7""",2,3
HE01053,AIR FILTER IN OUT 15205,3,4
HE01054,AIR FILTER IN OUT 4322X,3,4
HE1211,AIR FILTER IN/OUT,2,3
HE01055,AIR FILTER PRIMARY 334/Y2810,2,3
HE01056,AIR FILTER SAFETY 334/Y2811,2,3
ME2997,AIR INLET SWIVEL FOR PNEUMATIC BREAKER CP0117,2,3
OT2979,AIR PLASMA CUTTING MACHINE,3,4
OT02674,AIR POCKET,3,4
ME3000,AIR SWIVEL NUT FOR PNEUMATIC BREAKER CP0117,2,3
OT2937,AL ARM XLPE CABLE 25 SQMM X 3CORE,5,6
OT2938,AL ARM XLPE CABLE 50 SQMM X 3CORE,5,6
OT2939,AL ARM XLPE CABLE 70 SQMM X 3CORE,5,6
OT2940,AL ARM XLPE CABLE 95 SQMM X 3.5CORE,5,6
AS00003,ALARM ANNUNCIATOR SYSTEM MBAS 0600 16 WINDOW,2,3
AS00004,ALARM ANNUNCIATOR SYSTEM MBAS 0600 24 WINDOW,2,3
EL1030,"ALKALINE BATTERY MODEL: AM2C, 1.5 VOLT,SIZE:LR14",2,3
OT2964,ALKALINITY REDUCERS MAINTAIN THE PH OF RECIRCULATING WATER FOR TMT-5059,9,10
OT02675,ALL OUT/GOOD KNIGHT SET,2,3
ME01199,ALLAN BOLT 5 X 40 MM,2,3
ME01200,ALLEN BOLT 20 X 50 MM,2,3
ME01201,ALLEN BOLT 6 X 25 MM,2,3
ME2681,ALLEN BOLT M 10 X 60 FOR HLS-160 NECK,3,4
ME2682,ALLEN BOLT M 5 X 15 WITH WASHER FOR HLS-160 NECK,3,4
ME01202,ALLEN GRUB SCREW 10 X 20 MM,2,3
ME01203,ALLEN GRUB SCREW 12 X 20 MM,2,3
ME01204,ALLEN GRUB SCREW 16 X 20 MM,2,3
ME01205,ALLEN GRUB SCREW 3 X 20 MM,2,3
ME01206,ALLEN GRUB SCREW 4 X 20 MM,2,3
ME01207,ALLEN GRUB SCREW 5 X 20 MM,2,3
ME01208,ALLEN GRUB SCREW 6 X 20 MM,2,3
ME01209,ALLEN GRUB SCREW 8 X 20 MM,2,3
ME01210,ALLEN KEY 10 MM,2,3
ME3330,ALLEN KEY 14,2,3
ME3331,ALLEN KEY 16,2,3
ME3332,ALLEN KEY 18,2,3
ME01214,ALLEN KEY 2 MM,2,3
ME3333,ALLEN KEY 20,2,3
ME3334,ALLEN KEY 24,2,3
ME3335,ALLEN KEY 28,2,3
